نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین
فجهان,مجتمع جهان فولاد سيرجان,3037246,3999876272,2.19993E+13,1000,5500,5500,"4,500.00",450.00,5500,"4,500.00",450.00,5500,5500
وهامون,سرمايه گذاري هامون صبا,75584,114171991,5.07557E+11,4574,4630,4346,-228.00,-4.98,4446,-128.00,-2.80,4346,4710
مديريت,س. و خدمات مديريت صند. ب كشوري,46418,31696338,3.34967E+11,10065,10568,10568,503.00,5.00,10568,503.00,5.00,10568,10568
پالايش,صندوق پالايشي يكم-سهام,33343,37789524,3.16824E+12,83040,84690,82470,-570.00,-0.69,83840,800.00,0.96,82400,86000
سپيد,سپيد ماكيان,32783,8354563,5.315E+11,63420,64680,62500,-920.00,-1.45,63620,200.00,0.32,61320,66560
دي,بانك دي,27110,858858978,1.08239E+12,1303,1321,1238,-65.00,-4.99,1260,-43.00,-3.30,1238,1332
شستا,سرمايه گذاري تامين اجتماعي,25338,112458233,1.52772E+12,13460,13690,13420,-40.00,-0.30,13580,120.00,0.89,13270,13960
بركت,گروه دارويي بركت,23736,39129061,1.66955E+12,44430,44050,42210,"-2,220.00",-5.00,42670,"-1,760.00",-3.96,42210,44600
شبندر,پالايش نفت بندرعباس,17943,237903013,1.53816E+12,6310,6460,6420,110.00,1.74,6470,160.00,2.54,6360,6620
دارا يكم,صندوق واسطه گري مالي يكم-سهام,16686,8849521,1.2139E+12,137140,139200,135220,"-1,920.00",-1.40,137170,30.00,0.02,134910,140410
فرابورس,فرابورس ايران,16323,48792020,1.62489E+12,31897,33491,33491,"1,594.00",5.00,33302,"1,405.00",4.40,32350,33491
گدنا,تهيه توزيع غذاي دنا آفرين فدك,15640,11546710,2.90944E+11,24224,24990,24949,725.00,2.99,25197,973.00,4.02,24265,25435
فولاد,فولاد مباركه اصفهان,15124,131105853,1.51884E+12,11600,11750,11490,-110.00,-0.95,11580,-20.00,-0.17,11460,11790
سپيدار,سپيدار سيستم آسيا,14722,6179604,1.33254E+11,22453,21860,21331,"-1,122.00",-5.00,21564,-889.00,-3.96,21331,22662
كمند,صندوق س. با درآمد ثابت كمند,14223,656265493,6.58097E+12,10012,10027,10028,16.00,0.16,10028,16.00,0.16,10027,10030
خساپا,سايپا,13153,318022720,6.21425E+11,1988,2002,1910,-78.00,-3.92,1954,-34.00,-1.71,1903,2035
فملي,ملي‌ صنايع‌ مس‌ ايران‌,12831,80226336,1.11599E+12,13670,14000,13800,130.00,0.95,13910,240.00,1.76,13750,14210
خودرو,ايران‌ خودرو,12347,272742264,5.89035E+11,2178,2200,2120,-58.00,-2.66,2160,-18.00,-0.83,2110,2258
شپنا,پالايش نفت اصفهان,11829,84960857,1.18206E+12,13810,14040,13790,-20.00,-0.14,13910,100.00,0.72,13790,14300
ولكار,ليزينگ كارآفرين,10885,15062571,75152381501,4880,4800,4910,30.00,0.61,4989,109.00,2.23,4800,5124
ولپارس,ليزينگ پارسيان,10761,27825561,1.57216E+11,5750,5600,5480,-270.00,-4.70,5650,-100.00,-1.74,5470,5940
فاراكح,ح . ماشين‌ سازي‌ اراك‌,10392,287712900,2.79396E+11,965,973,949,-16.00,-1.66,971,6.00,0.62,941,1001
لطيف,محصولات كاغذي لطيف,10013,933414,51671052732,55487,56050,54940,-547.00,-0.99,55357,-130.00,-0.23,54010,57500
ذوب,سهامي ذوب آهن  اصفهان,9458,185506601,8.03073E+11,4489,4584,4290,-199.00,-4.43,4329,-160.00,-3.56,4265,4584
بوعلي,پتروشيمي بوعلي سينا,9437,6519239,4.64031E+11,68020,69100,71420,"3,400.00",5.00,71180,"3,160.00",4.65,69100,71420
چخزر,صنايع چوب خزر كاسپين,9409,1969050,84181435683,41633,42230,42580,947.00,2.27,42752,"1,119.00",2.69,41500,43650
غزر,صنعتي زر ماكارون,9066,5686739,1.67271E+11,29110,28510,29470,360.00,1.24,29410,300.00,1.03,28250,30200
ثبهساز,بهساز كاشانه تهران,8592,42471561,1.00885E+11,2398,2425,2335,-63.00,-2.63,2375,-23.00,-0.96,2300,2479
خگستر,گسترش‌سرمايه‌گذاري‌ايران‌خودرو,8586,159661122,4.96804E+11,3142,3200,3046,-96.00,-3.06,3112,-30.00,-0.95,3020,3241
ومدير,گ.مديريت ارزش سرمايه ص ب كشوري,8575,31565000,1.7197E+11,5300,5390,5360,60.00,1.13,5450,150.00,2.83,5310,5560
شتران,پالايش نفت تهران,8494,63967850,7.11262E+11,11120,11200,11020,-100.00,-0.90,11120,0,0,10850,11470
حگردش,ريل گردش ايرانيان,8183,18300773,64489177778,3583,3550,3476,-107.00,-2.99,3524,-59.00,-1.65,3476,3689
وتجارت,بانك تجارت,8142,218995770,5.39869E+11,2479,2510,2430,-49.00,-1.98,2465,-14.00,-0.56,2430,2533
رافزا,رايان هم افزا,8009,1538049,1.42905E+11,88600,87217,93030,"4,430.00",5.00,92913,"4,313.00",4.87,86900,93030
شاروم,پتروشيمي اروميه,8001,2789026,53570198734,18921,19480,18932,11.00,0.06,19207,286.00,1.51,18622,19598
آبادا,توليد نيروي برق آبادان,7938,6071391,92693546550,15170,15480,15340,170.00,1.12,15270,100.00,0.66,14980,15830
كرمان,س. توسعه و عمران استان كرمان,7632,223418403,3.13092E+11,1396,1430,1378,-18.00,-1.29,1401,5.00,0.36,1371,1449
شصدف,صنعتي دوده فام,7600,9529902,3.71773E+11,40636,41000,38613,"-2,023.00",-4.98,39011,"-1,625.00",-4.00,38605,41199
فگستر,گسترش صنايع روي ايرانيان,7560,3905862,61359800962,15801,15633,15192,-609.00,-3.85,15710,-91.00,-0.58,15190,16200
فتوسا,توليد و توسعه سرب روي ايرانيان,7489,2606013,38167826124,14634,14670,14409,-225.00,-1.54,14646,12.00,0.08,14380,15000
وكبهمن,مديريت سرمايه گذاري كوثربهمن,7233,2591319,34150570448,13023,12999,13111,88.00,0.68,13179,156.00,1.20,12999,13570
زملارد,كشاورزي و دامپروري ملارد شير,7229,1005789,32392400120,32216,32950,31560,-656.00,-2.04,32206,-10.00,-0.03,31430,33360
وپارس,بانك‌پارسيان‌,7185,282197132,9.09285E+11,3117,3150,3159,42.00,1.35,3222,105.00,3.37,3119,3272
كاما,باما,7113,33034912,4.41094E+11,13050,13350,13110,60.00,0.46,13350,300.00,2.30,12950,13690
شسپا,نفت سپاهان,7013,114114489,4.12188E+11,3691,3690,3507,-184.00,-4.99,3612,-79.00,-2.14,3507,3749
رمپنا,گروه مپنا (سهامي عام),6904,141762988,2.8446E+12,19120,20070,20000,880.00,4.60,20070,950.00,4.97,19850,20070
وسپهر,سرمايه گذاري مالي سپهرصادرات,6689,12861354,1.16336E+11,8961,8935,8993,32.00,0.36,9045,84.00,0.94,8935,9245
غكورش,صنعت غذايي كورش,6544,2988227,1.36873E+11,45590,46200,45100,-490.00,-1.07,45800,210.00,0.46,44890,47300
خفناور,مهندسي صنعتي روان فن آور,6542,18075832,7.64154E+11,42441,40319,43600,"1,159.00",2.73,42275,-166.00,-0.39,40319,44542
خپارس,پارس‌ خودرو,6489,218931398,2.8016E+11,1321,1324,1255,-66.00,-5.00,1280,-41.00,-3.10,1255,1348
ثاميد,توسعه و عمران اميد,6480,35260802,61652514054,1747,1750,1720,-27.00,-1.55,1748,1.00,0.06,1710,1790
كزغال,زغال سنگ پروده طبس,6189,1607697,63691148357,39372,40100,39000,-372.00,-0.94,39616,244.00,0.62,38560,40690
وآيند,بانك  آينده,6144,69464252,8.03045E+11,11998,11650,11600,-398.00,-3.32,11561,-437.00,-3.64,11519,11757
وبملت,بانك ملت,6116,126722243,5.00773E+11,3953,4020,3915,-38.00,-0.96,3952,-1.00,-0.03,3900,4045
ثشاهد,سرمايه‌ گذاري‌ شاهد,5982,23195267,4.38343E+11,18120,18980,18730,610.00,3.37,18900,780.00,4.30,18500,19020
امين,تامين سرمايه امين,5972,3034818,28738794900,9440,9500,9490,50.00,0.53,9460,20.00,0.21,9440,9500
فاراك,ماشين‌ سازي‌ اراك‌,5905,159888625,3.74547E+11,2350,2400,2293,-57.00,-2.43,2343,-7.00,-0.30,2262,2444
سيتا,سرمايه گذاري سيمان تامين,5756,7568498,1.12035E+11,14820,14950,14590,-230.00,-1.55,14800,-20.00,-0.13,14530,15300
وهنر,گروه توسعه هنر ايران,5730,43178723,2.54703E+11,6121,6000,5902,-219.00,-3.58,5899,-222.00,-3.63,5815,6150
بپيوند,برق و انرژي پيوندگستر پارس,5684,3519021,45265476743,12981,13100,12701,-280.00,-2.16,12863,-118.00,-0.91,12472,13370
وسكرشا,س.سهام عدالت استان كرمانشاه,5682,337858305,2.31614E+11,664,652,697,33.00,4.97,686,22.00,3.31,651,697
قثابت,قند ثابت‌ خراسان‌,5605,60804121,2.68134E+11,4539,4637,4313,-226.00,-4.98,4410,-129.00,-2.84,4313,4660
شگويا,پتروشيمي تندگويان,5587,20414317,2.5729E+11,12458,12502,12639,181.00,1.45,12603,145.00,1.16,12301,12760
نوري,پتروشيمي نوري,5572,4414455,4.81601E+11,109320,109730,107800,"-1,520.00",-1.39,109100,-220.00,-0.20,107000,111370
كدما,معدني‌ دماوند,5268,1564696,3.16606E+11,210210,209500,199700,"-10,510.00",-5.00,202340,"-7,870.00",-3.74,199700,216830
آريا,پليمر آريا ساسول,5135,1529539,1.74045E+11,113679,116270,114100,421.00,0.37,113789,110.00,0.10,112718,116300
وبصادر,بانك صادرات ايران,5069,108933493,2.61032E+11,2436,2436,2370,-66.00,-2.71,2396,-40.00,-1.64,2333,2530
خبهمن,گروه‌بهمن‌,5005,181330714,3.18209E+11,1794,1826,1711,-83.00,-4.63,1755,-39.00,-2.17,1705,1826
بگيلان,توسعه مسير برق گيلان,4961,934808,19629041233,21059,21680,20649,-410.00,-1.95,21026,-33.00,-0.16,20550,21680
فروي,ذوب روي اصفهان,4941,6551389,2.40736E+11,35355,36900,36200,845.00,2.39,36746,"1,391.00",3.93,35900,37122
وپويا,سرمايه گذاري پويا,4860,11111281,65469715247,6025,5971,5741,-284.00,-4.71,5892,-133.00,-2.21,5730,6200
فاذر,صنايع‌ آذرآب‌,4848,171409542,2.43065E+11,1447,1480,1399,-48.00,-3.32,1418,-29.00,-2.00,1375,1480
غنوش,نوش‌ مازندران‌,4833,8877339,3.99359E+11,46390,46000,44080,"-2,310.00",-4.98,44990,"-1,400.00",-3.02,44080,47500
پترول,گروه پتروشيمي س. ايرانيان,4829,31309451,1.34763E+11,4316,4399,4249,-67.00,-1.55,4304,-12.00,-0.28,4236,4413
غگيلا,شيرپاستوريزه پگاه گيلان,4772,2904412,75254557160,26799,26779,25460,"-1,339.00",-5.00,25910,-889.00,-3.32,25460,27400
وبرق,س.کارکنان صنعت برق زنجان وقزوي,4683,8400152,9.55747E+11,112407,109035,115779,"3,372.00",3.00,113777,"1,370.00",1.22,109035,115779
كنور,توسعه معدني و صنعتي صبانور,4662,25558540,4.84214E+11,19460,19600,18680,-780.00,-4.01,18950,-510.00,-2.62,18570,19720
وملي,گروه‌ صنعتي‌ ملي‌ (هلدينگ‌,4491,2664625,6.14328E+11,219920,230910,230910,"10,990.00",5.00,230550,"10,630.00",4.83,227620,230910
كرازي,كارخانجات‌توليدي‌شيشه‌رازي‌,4269,101096547,1.70716E+11,1759,1705,1672,-87.00,-4.95,1689,-70.00,-3.98,1672,1767
اعتماد,صندوق س.اعتماد آفرين پارسيان-د,4180,145973730,5.64295E+12,38626,38654,38658,32.00,0.08,38657,31.00,0.08,38653,38660
ثاخت,بين‌المللي‌توسعه‌ساختمان,4100,73168301,2.18545E+11,3078,3140,2925,-153.00,-4.97,2987,-91.00,-2.96,2925,3170
حكشتي,كشتيراني جمهوري اسلامي ايران,4053,12905813,2.34536E+11,18140,18700,17850,-290.00,-1.60,18170,30.00,0.17,17650,18700
اپال,فرآوري معدني اپال كاني پارس,4029,17155999,3.791E+11,21060,21510,22110,"1,050.00",4.99,22100,"1,040.00",4.94,21130,22110
وخارزم,سرمايه گذاري خوارزمي,3994,27136739,1.66521E+11,6220,6230,6070,-150.00,-2.41,6140,-80.00,-1.29,6010,6350
سبزوا,سيمان لار سبزوار,3976,56302531,2.283E+11,3881,3950,3962,81.00,2.09,4055,174.00,4.48,3944,4075
هاي وب,داده گسترعصرنوين-هاي وب,3909,21569824,2.12677E+11,10060,10200,9680,-380.00,-3.78,9860,-200.00,-1.99,9610,10240
وغدير,سرمايه‌گذاري‌غدير(هلدينگ‌,3779,27374657,4.15137E+11,14930,15110,15060,130.00,0.87,15170,240.00,1.61,14920,15440
زكوثر,سرمايه گذاري كشاورزي كوثر,3775,11946048,2.79961E+11,22550,22030,23260,710.00,3.15,23440,890.00,3.95,22030,23670
گشان,توسعه بين المللي پديده شانديز,3736,10502699,2.71252E+11,25189,24870,25300,111.00,0.44,25827,638.00,2.53,24870,25944
خودكفا,اقتصادي و خودكفايي آزادگان,3663,31353944,5.37658E+11,16744,17246,16700,-44.00,-0.26,17148,404.00,2.41,16367,17246
بپاس,بيمه پاسارگاد,3576,5846029,4.65844E+11,79350,79350,79350,0,0,79686,336.00,0.42,79348,83199
پيزد,مجتمع صنايع لاستيك يزد,3476,416927,30665093507,73984,74890,72900,"-1,084.00",-1.47,73550,-434.00,-0.59,72887,75264
وتوس,توسعه‌شهري‌توس‌گستر,3416,13060164,2.31068E+11,17680,17290,17280,-400.00,-2.26,17690,10.00,0.06,16800,18560
حريل,ريل پردازسير,3388,31990448,1.67842E+11,5366,5569,5141,-225.00,-4.19,5247,-119.00,-2.22,5098,5569
غگل,گلوكوزان‌,3288,34690911,1.33294E+11,3870,3940,3811,-59.00,-1.52,3842,-28.00,-0.72,3695,4000
كيان,صندوق س. با درآمد ثابت كيان,3205,47870103,1.45868E+12,30422,30470,30470,48.00,0.16,30472,50.00,0.16,30450,30475
شفارس,صنايع‌ شيميايي‌ فارس‌,3188,67436075,1.40908E+11,2012,2018,2112,100.00,4.97,2089,77.00,3.83,2018,2112
خزر,فنرسازي‌زر,3149,9085514,1.77446E+11,19950,19700,18960,-990.00,-4.96,19530,-420.00,-2.11,18960,20670
ملت,بيمه ملت,3140,109140337,1.65513E+11,1518,1520,1461,-57.00,-3.75,1517,-1.00,-0.07,1455,1579
غدام,خوراك‌  دام‌ پارس‌,3069,606595,1.63897E+11,276570,275010,264300,"-12,270.00",-4.44,270190,"-6,380.00",-2.31,263000,285500
سنير,سيمان‌ سفيد ني‌ريز,3065,1282402,2.17167E+11,177660,177900,168780,"-8,880.00",-5.00,169340,"-8,320.00",-4.68,168780,177900
خزاميا,زامياد,3053,26029476,2.08617E+11,8320,8400,7910,-410.00,-4.93,8010,-310.00,-3.73,7910,8550
حآسا,آسيا سير ارس,2994,7339109,1.92237E+11,27211,28000,26200,"-1,011.00",-3.72,26193,"-1,018.00",-3.74,25851,28000
فزرين,زرين معدن آسيا,2973,14122704,2.97912E+11,22158,21051,21051,"-1,107.00",-5.00,21095,"-1,063.00",-4.80,21051,21525
سفارس,سيمان فارس و خوزستان,2954,28498696,6.02924E+11,22110,21550,21010,"-1,100.00",-4.98,21160,-950.00,-4.30,21010,22500
فخوز,فولاد  خوزستان,2942,19171311,3.50947E+11,18530,18890,18200,-330.00,-1.78,18310,-220.00,-1.19,18050,18980
كاوه,فولاد كاوه جنوب كيش,2915,8064025,1.67473E+11,20930,21100,20450,-480.00,-2.29,20770,-160.00,-0.76,20420,21570
امين يكم,صندوق درآمد ثابت امين يكم فردا,2906,92407920,9.33358E+11,10080,10097,10104,24.00,0.24,10100,20.00,0.20,10091,10108
سيمرغ,سيمرغ,2821,19561481,4.49042E+11,21930,22450,22660,730.00,3.33,22960,"1,030.00",4.70,22410,23020
سخواف,سيمان مجد خواف,2808,15203414,1.78451E+11,12249,11637,11637,-612.00,-5.00,11738,-511.00,-4.17,11637,12086
غمينو,شركت صنايع غذايي مينو شرق,2800,20811103,2.35358E+11,10920,10950,11466,546.00,5.00,11309,389.00,3.56,10374,11466
ماديرا,صنايع ماشين هاي اداري ايران,2796,23879373,2.38519E+11,10382,10490,9863,-519.00,-5.00,9989,-393.00,-3.79,9863,10590
ثاصفا,شركت‌ ساختمان‌ اصفهان‌,2773,5145596,1.08998E+11,20934,19950,21980,"1,046.00",5.00,21183,249.00,1.19,19888,21980
پتاير,ايران‌ تاير,2736,62357424,1.97245E+11,3119,3140,3149,30.00,0.96,3163,44.00,1.41,3100,3238
كيمياتك,آريان كيميا تك,2716,1181657,28537016550,23000,24150,24150,"1,150.00",5.00,24150,"1,150.00",5.00,24150,24150
قشكر,شكرشاهرود,2681,49636246,2.20894E+11,4446,4655,4455,9.00,0.20,4450,4.00,0.09,4300,4655
فارس,صنايع پتروشيمي خليج فارس,2667,42065940,5.47008E+11,12980,13040,13010,30.00,0.23,13000,20.00,0.15,12990,13110
چدن,توليدي چدن سازان,2648,22573568,1.03919E+11,4658,4780,4496,-162.00,-3.48,4604,-54.00,-1.16,4480,4780
ثعمرا,عمران و توسعه شاهد,2642,15949809,2.06538E+11,12399,13000,12660,261.00,2.11,12949,550.00,4.44,12586,13018
تاپكيش,تجارت الكترونيك پارسيان كيش,2621,12920070,2.16749E+11,17464,17950,16919,-545.00,-3.12,16776,-688.00,-3.94,16591,17950
وپاسار,بانك  پاسارگاد,2606,68669747,1.03385E+12,15050,15050,15050,0,0,15060,10.00,0.07,15010,15090
ونوين,بانك‌اقتصادنوين‌,2587,39204434,1.8429E+11,4807,4890,4610,-197.00,-4.10,4701,-106.00,-2.21,4600,4899
غفارس,شير پاستوريزه پگاه فارس,2550,13084295,1.76885E+11,14101,14398,13396,-705.00,-5.00,13519,-582.00,-4.13,13396,14398
بجهرم,توسعه مولد نيروگاهي جهرم,2544,30810462,82760522650,2717,2780,2670,-47.00,-1.73,2686,-31.00,-1.14,2621,2780
فجر,فولاد اميركبيركاشان,2539,4125213,1.21603E+11,29900,29700,29150,-750.00,-2.51,29480,-420.00,-1.40,28970,30330
قرن,پديده شيمي قرن,2531,2129137,79324874080,38150,38320,36250,"-1,900.00",-4.98,37260,-890.00,-2.33,36250,38920
شلرد,كود شيميايي اوره لردگان,2513,28178868,2.47425E+11,8546,8802,8550,4.00,0.05,8781,235.00,2.75,8550,8802
زاگرس,پتروشيمي زاگرس,2498,1353419,3.69579E+11,261890,263000,274984,"13,094.00",5.00,273071,"11,181.00",4.27,262580,274984
بترانس,ايران‌ ترانسفو,2479,31787457,87141906181,2752,2810,2681,-71.00,-2.58,2741,-11.00,-0.40,2660,2835
كوير,توليدي فولاد سپيد فراب كوير,2468,14442893,2.30351E+11,15860,16400,15710,-150.00,-0.95,15950,90.00,0.57,15620,16400
بكام,كارخانجات توليدي شهيد قندي,2439,32913788,1.08622E+11,3303,3405,3223,-80.00,-2.42,3300,-3.00,-0.09,3161,3440
سيلام,سيمان‌ ايلام‌,2421,20993545,2.02802E+11,9210,9590,9670,460.00,4.99,9660,450.00,4.89,9350,9670
كتوكا,توليدي و خدمات صنايع نسوز توكا,2407,4302427,1.11302E+11,26978,26900,25630,"-1,348.00",-5.00,25869,"-1,109.00",-4.11,25630,26900
دماوند,توليد نيروي برق دماوند,2394,5234433,1.60891E+11,31058,31400,29700,"-1,358.00",-4.37,30737,-321.00,-1.03,29506,32500
كنورح,ح توسعه معدني و صنعتي صبانور,2361,15349728,2.66165E+11,18210,17850,17150,"-1,060.00",-5.82,17340,-870.00,-4.78,16760,17850
كگل,معدني و صنعتي گل گهر,2361,15918509,3.96401E+11,24720,24990,24830,110.00,0.44,24900,180.00,0.73,24700,25020
فسرب,ملي‌ سرب‌وروي‌ ايران‌,2345,3057230,2.47295E+11,77130,80000,80730,"3,600.00",4.67,80890,"3,760.00",4.87,78500,80980
تملت,تامين سرمايه بانك ملت,2335,14771667,82506276140,5810,5700,5520,-290.00,-4.99,5590,-220.00,-3.79,5520,5920
خاور,ايران خودرو ديزل,2320,14627907,1.376E+11,9563,9670,9277,-286.00,-2.99,9407,-156.00,-1.63,9277,9810
نطرين,عطرين نخ قم,2317,15694183,1.39049E+11,8524,8511,8900,376.00,4.41,8860,336.00,3.94,8511,8950
وبانك,سرمايه گذاري گروه توسعه ملي,2289,12884194,1.18209E+11,9290,9210,9060,-230.00,-2.48,9170,-120.00,-1.29,9000,9530
زماهان,مجتمع توليد گوشت مرغ ماهان,2289,7470385,1.08107E+11,14825,15390,14084,-741.00,-5.00,14471,-354.00,-2.39,14084,15390
اتكاي,بيمه اتكايي ايرانيان,2266,20134256,1.77635E+11,9052,9390,8611,-441.00,-4.87,8823,-229.00,-2.53,8610,9390
ديران,ايران‌دارو,2261,8371573,2.25395E+11,25670,26570,26950,"1,280.00",4.99,26920,"1,250.00",4.87,26530,26950
وپست,پست بانك ايران,2239,10054258,2.34994E+11,23560,23600,23390,-170.00,-0.72,23370,-190.00,-0.81,22440,23640
غديس,پاكديس,2208,11837495,1.89247E+11,15426,15700,15621,195.00,1.26,15987,561.00,3.64,15510,16197
دلقما,دارويي‌ لقمان‌,2195,3472224,1.67042E+11,47600,48390,47210,-390.00,-0.82,48110,510.00,1.07,45500,49940
كمرجان,بازرگاني و توليدي مرجان كار,2182,1103341,1.21522E+11,115208,110250,109448,"-5,760.00",-5.00,110140,"-5,068.00",-4.40,109448,114990
سرو,صندوق س سروسودمند مدبران-سهام,2154,1805658,1.50184E+11,82790,83860,82400,-390.00,-0.47,83170,380.00,0.46,82000,84890
دانا,بيمه دانا,2149,28920221,1.97951E+11,6820,7010,6650,-170.00,-2.49,6840,20.00,0.29,6600,7010
ارفع,شركت آهن و فولاد ارفع,2144,7104606,1.26062E+11,18332,18300,17500,-832.00,-4.54,17744,-588.00,-3.21,17416,18790
ختوقا,قطعات‌ اتومبيل‌ ايران‌,2143,37554857,1.12568E+11,3126,3100,2970,-156.00,-4.99,2997,-129.00,-4.13,2970,3156
شپترو,پتروشيمي آبادان,2097,29331980,1.51831E+11,5043,5180,5090,47.00,0.93,5176,133.00,2.64,5062,5194
فرآور,فرآوري‌موادمعدني‌ايران‌,2092,4561375,1.70617E+11,36150,37000,36890,740.00,2.05,37400,"1,250.00",3.46,36200,37950
دتوليد,داروسازي توليد دارو,2091,6819160,1.16404E+11,16686,17000,16690,4.00,0.02,17070,384.00,2.30,16660,17520
ساوه,سيمان ساوه,2052,1195836,71572767634,61279,61010,59700,"-1,579.00",-2.58,59852,"-1,427.00",-2.33,59090,61500
تاپيكو,س. نفت و گاز و پتروشيمي تأمين,2008,8272702,1.1751E+11,13950,14350,14150,200.00,1.43,14190,240.00,1.72,14050,14400
ريشمك,توليد و صادرات ريشمك,2002,3759694,1.72225E+11,43775,44500,45963,"2,188.00",5.00,45808,"2,033.00",4.64,44100,45963
سصفها,سيمان‌اصفهان‌,1984,2022285,1.36418E+11,70540,70900,67020,"-3,520.00",-4.99,67460,"-3,080.00",-4.37,67020,70900
غالبر,لبنيات‌ كالبر,1982,8856452,1.21539E+11,14290,14560,13580,-710.00,-4.97,13720,-570.00,-3.99,13580,14560
سصوفي,سيمان‌ صوفيان‌,1980,15040320,2.98951E+11,20780,20500,19750,"-1,030.00",-4.96,19880,-900.00,-4.33,19750,21500
افران,صندوق س افرا نماد پايدار-ثابت,1978,79654139,1.13397E+12,14211,14237,14238,27.00,0.19,14236,25.00,0.18,14235,14238
ثنوسا,نوسازي‌وساختمان‌تهران‌,1976,13192612,1.28185E+11,9990,9940,9500,-490.00,-4.90,9720,-270.00,-2.70,9500,10240
فولاژ,فولاد آلياژي ايران,1972,5498819,1.03707E+11,18730,19490,18690,-40.00,-0.21,18860,130.00,0.69,18290,19490
ومعادن,توسعه‌معادن‌وفلزات‌,1964,18531510,2.1642E+11,11660,11730,11700,40.00,0.34,11680,20.00,0.17,11490,12000
پاسا,ايران‌ياساتايرورابر,1930,8600560,1.9251E+11,22270,22500,22980,710.00,3.19,22380,110.00,0.49,21460,23180
ثالوند,سرمايه گذاري مسكن الوند,1924,4046236,88796562608,21725,22308,22000,275.00,1.27,21945,220.00,1.01,21600,22308
خمحركه,نيرو محركه‌,1911,19395392,95128084148,4950,5130,4801,-149.00,-3.01,4905,-45.00,-0.91,4731,5130
ولشرق,ليزينگ ايران و شرق,1906,16112260,1.1214E+11,6754,7080,6950,196.00,2.90,6960,206.00,3.05,6760,7090
دتوزيع,توزيع دارو پخش,1900,3476286,1.30007E+11,38739,38748,36803,"-1,936.00",-5.00,37398,"-1,341.00",-3.46,36803,39850
شبريز,پالايش نفت تبريز,1863,3806295,1.46992E+11,38840,39620,38360,-480.00,-1.24,38620,-220.00,-0.57,37800,39870
پارند,صندوق س. پارند پايدار سپهر,1857,78786385,7.90043E+11,10014,10028,10028,14.00,0.14,10028,14.00,0.14,10027,10029
بالاس,مهندسي ساختمان تاسيسات راه آهن,1833,3293869,1.39241E+11,41376,43242,40890,-486.00,-1.17,42273,897.00,2.17,40580,43444
فولاي,صنايع فولاد آلياژي يزد,1828,3891595,97384459469,25802,25517,24512,"-1,290.00",-5.00,25024,-778.00,-3.02,24512,26290
وگستر,گسترش سرمايه گذاري ايرانيان,1822,7104637,85054993132,12213,12490,11799,-414.00,-3.39,11972,-241.00,-1.97,11722,12500
چكارن,كارتن‌ ايران‌,1821,26741426,92593787277,3470,3600,3330,-140.00,-4.03,3463,-7.00,-0.20,3330,3609
شدوص,دوده‌ صنعتي‌ پارس‌,1815,6757373,1.77718E+11,26390,25150,26090,-300.00,-1.14,26300,-90.00,-0.34,25150,27500
حفاري,حفاري شمال,1801,10251935,72833352530,7130,7190,6960,-170.00,-2.38,7100,-30.00,-0.42,6870,7350
وبيمه,سرمايه‌ گذاري‌ صنعت‌ بيمه‌,1799,30989471,67912934872,2205,2210,2123,-82.00,-3.72,2191,-14.00,-0.63,2095,2255
غپينو,پارس‌ مينو,1792,12491179,72446626750,5980,5950,5770,-210.00,-3.51,5800,-180.00,-3.01,5690,6100
خوساز,محورسازان‌ايران‌خودرو,1784,15094469,1.41931E+11,9790,9320,9310,-480.00,-4.90,9400,-390.00,-3.98,9310,10000
شيران,س. صنايع‌شيميايي‌ايران,1775,5948163,1.67715E+11,28250,28150,28300,50.00,0.18,28200,-50.00,-0.18,27940,28860
ولساپا,ليزينگ رايان‌ سايپا,1767,36239645,1.12335E+11,3244,3239,3078,-166.00,-5.12,3100,-144.00,-4.44,3078,3245
آگاس,صندوق س.هستي بخش آگاه-س,1757,1388470,1.20812E+11,86598,87690,86385,-213.00,-0.25,87011,413.00,0.48,85978,88500
حپترو,حمل و نقل پتروشيمي( سهامي عام,1745,2148541,83663501760,37610,38340,39170,"1,560.00",4.15,38940,"1,330.00",3.54,37600,39490
فنورد,نوردوقطعات‌ فولادي‌,1737,451940,95050118830,204020,205000,211400,"7,380.00",3.62,210320,"6,300.00",3.09,199000,213520
فنوال,نورد آلومينيوم‌,1736,3629737,1.27809E+11,34180,35410,34900,720.00,2.11,35210,"1,030.00",3.01,33900,35880
كپشير,پشم‌شيشه‌ايران‌,1723,4123756,90017950110,22400,22690,21670,-730.00,-3.26,21830,-570.00,-2.54,21280,22690
آ س پ,آ.س.پ,1714,7701810,90425252939,11526,11890,11400,-126.00,-1.09,11741,215.00,1.87,11200,12102
فاسمين,كالسيمين‌,1713,8974930,1.60939E+11,17370,17990,17930,560.00,3.22,17930,560.00,3.22,17510,18210
وساپا,سرمايه‌گذاري‌ سايپا,1699,15082703,86564538610,5930,5930,5640,-290.00,-4.89,5740,-190.00,-3.20,5640,6050
غسالم,سالمين‌,1678,16172666,65140174467,4114,4190,4021,-93.00,-2.26,4028,-86.00,-2.09,3917,4200
